season,pos,name,espn_id,team,pass_yds,pass_td,rush_yds,rush_td,rec_yds,rec_td,already_in_pool,approved
2025,WR,Justin Jefferson,4262921,MIN,0,0,7,0,1048,2,yes,
2025,WR,DeVonta Smith,4241478,PHI,0,0,0,0,1008,4,,
2025,WR,Davante Adams,16800,LAR,0,0,0,0,789,14,yes,
2008,WR,Lance Moore,9400,NO,0,0,0,0,928,10,yes,fill-to-65 (2026-09-10)
2008,QB,Jake Delhomme,1693,CAR,3288,15,21,2,0,0,yes,fill-to-65 (2026-09-10)
2008,RB,Marion Barber,8523,DAL,0,0,885,7,417,2,yes,fill-to-65 (2026-09-10)
2008,WR,Donald Driver,1966,GB,0,0,4,0,1012,5,yes,fill-to-65 (2026-09-10)
2008,QB,Jason Campbell,8440,WSH,3245,13,258,1,0,0,yes,fill-to-65 (2026-09-10)
2008,RB,Derrick Ward,5760,NYG,0,0,1025,2,384,0,,fill-to-65 (2026-09-10)
2008,WR,Bernard Berrian,5603,MIN,0,0,26,0,964,7,,fill-to-65 (2026-09-10)
2008,TE,Visanthe Shiancoe,4549,MIN,0,0,0,0,596,7,,fill-to-65 (2026-09-10)
2010,WR,Braylon Edwards,8418,NYJ,0,0,4,0,904,7,yes,fill-to-65 (2026-09-10)
2010,QB,Jay Cutler,9597,CHI,3274,23,232,1,0,0,yes,fill-to-65 (2026-09-10)
2010,RB,Frank Gore,8479,SF,0,0,853,3,452,2,yes,fill-to-65 (2026-09-10)
2010,WR,Anquan Boldin,4512,BAL,-6,0,2,0,837,7,yes,fill-to-65 (2026-09-10)
2011,WR,Percy Harvin,12569,MIN,0,0,345,2,967,6,,fill-to-65 (2026-09-10)
2011,QB,Mike Vick,2549,PHI,3303,18,589,1,0,0,yes,fill-to-65 (2026-09-10)
2011,RB,Darren Sproles,8544,NO,0,0,603,2,710,7,yes,fill-to-65 (2026-09-10)
2013,WR,Kendall Wright,14909,TEN,0,0,0,0,1079,2,,fill-to-65 (2026-09-10)
2013,QB,Eli Manning,5526,NYG,3818,18,36,0,0,0,yes,fill-to-65 (2026-09-10)
2015,WR,Travis Benjamin,15062,CLE,0,0,12,0,966,5,,fill-to-65 (2026-09-10)
2020,WR,Corey Davis,3042778,TEN,0,0,0,0,984,5,yes,fill-to-65 (2026-09-10)
2020,QB,Teddy Bridgewater,16728,CAR,3733,15,279,5,0,0,yes,fill-to-65 (2026-09-10)
2020,RB,Antonio Gibson,4360294,WSH,0,0,795,11,247,0,yes,fill-to-65 (2026-09-10)
2020,WR,Diontae Johnson,3932905,PIT,0,0,15,0,923,7,yes,fill-to-65 (2026-09-10)
2020,QB,Drew Brees,2580,NO,2942,24,-2,2,0,0,yes,fill-to-65 (2026-09-10)
2020,RB,Clyde Edwards-Helaire,4242214,KC,0,0,803,4,297,1,,fill-to-65 (2026-09-10)
2020,WR,Robert Woods,15880,LAR,0,0,155,2,936,6,yes,fill-to-65 (2026-09-10)
2020,TE,Mark Andrews,3116365,BAL,0,0,0,0,701,7,yes,fill-to-65 (2026-09-10)
2020,WR,Nelson Agholor,2971618,LV,0,0,0,0,896,8,,fill-to-65 (2026-09-10)
2020,QB,Lamar Jackson,3916387,BAL,2757,26,1005,7,0,0,yes,fill-to-65 (2026-09-10)
2020,RB,Miles Sanders,4045163,PHI,0,0,867,6,197,0,yes,fill-to-65 (2026-09-10)
2021,WR,Hollywood Brown,4241372,BAL,0,0,5,0,1008,6,,fill-to-65 (2026-09-10)
2021,QB,Ryan Tannehill,14876,TEN,3734,21,270,7,0,0,yes,fill-to-65 (2026-09-10)
2021,RB,Cordarrelle Patterson,15807,ATL,0,0,618,6,548,5,,fill-to-65 (2026-09-10)
2022,WR,Jerry Jeudy,4241463,DEN,0,0,40,0,972,6,yes,fill-to-65 (2026-09-10)
2022,QB,Mac Jones,4241464,NE,2997,14,102,1,0,0,yes,fill-to-65 (2026-09-10)
2022,RB,Kenneth Walker III,4567048,SEA,0,0,1050,9,165,0,,fill-to-65 (2026-09-10)
2024,WR,Darnell Mooney,4040655,ATL,0,0,0,0,992,5,yes,fill-to-65 (2026-09-10)
2025,WR,Drake London,4426502,ATL,0,0,0,0,919,7,yes,fill-to-65 (2026-09-10)
